run_count,Left Power,Right Power,L Current,R Current,L Voltage,R Voltage,L Speed,R Speed
203,-0.4,-0.25,3.32,-1.24,-4.12903225806452,-2.49594330400782,-1.54519015659955,1.08769574944072
204,0.4,0.3,2.51,-0.85,4.07272727272727,3.00821114369501,1.60044742729307,-1.28098434004474
205,-0.4,-0.3,2.62,-1.21,-4.18533724340176,-3.10263929618768,-1.62751677852349,1.32841163310962
206,0.4,0.35,1.63,-0.45,4.18533724340176,3.65620723362659,1.67158836689038,-1.5248322147651
207,-0.4,-0.35,1.68,-0.7,-4.18533724340176,-3.67238514173998,-1.65257270693512,1.5255033557047
208,0.4,0.4,0.65,0.19,4.22287390029326,4.241642228739,1.71991051454139,-1.72930648769575
209,-0.4,-0.4,0.33,0.07,-4.16656891495601,-4.16656891495601,-1.69530201342282,1.70402684563758
210,0.4,0.45,-0.01,1.14,4.14780058651026,4.65620723362659,1.70178970917226,-1.87561521252796
211,-0.4,-0.45,-0.25,1.15,-4.22287390029326,-4.741642228739,-1.74228187919463,1.90223713646532
212,0.4,0.5,-0.12,1.41,4.26041055718475,5.36461388074291,1.74988814317673,-2.14519015659955
213,-0.4,-0.5,-0.59,2.47,-4.16656891495601,-5.22091886608016,-1.73870246085011,2.06666666666667
214,0.4,0.55,0.25,2.5,4.09149560117302,5.73255131964809,1.67718120805369,-2.27651006711409
215,-0.4,-0.55,-0.65,3.13,-4.16656891495601,-5.75909090909091,-1.73176733780761,2.26778523489933
216,0.45,0,5.84,0,4.52805474095797,0,1.64720357941834,-0.001565995525727
217,-0.45,0,4.76,0,-4.63484848484849,0,-1.72237136465324,0.051454138702461
218,0.45,0.05,5.35,0,4.61348973607038,0.11989247311828,1.68322147651007,-0.000447427293065
219,-0.45,-0.05,4.56,-0.07,-4.65620723362659,-0.120967741935484,-1.72102908277405,0.177852348993289
220,0.45,0.1,4.63,0.65,4.57077223851417,0.688172043010753,1.70559284116331,-0.142729306487696
221,-0.45,-0.1,4.28,-0.42,-4.63484848484849,-0.700684261974585,-1.7503355704698,0.420805369127517
222,0.45,0.15,15.44,2.77,4.1008797653959,1.1208211143695,1.26219239373602,-0.241387024608501
223,-0.45,-0.15,5.39,-0.93,-4.54941348973607,-1.27521994134897,-1.67785234899329,0.67158836689038
224,0.45,0.2,4.26,-0.68,4.57077223851417,1.81964809384164,1.72214765100671,-0.806040268456376
225,-0.45,-0.2,21.26,0.81,-4.22903225806452,-1.72825024437928,-1.13199105145414,0.57158836689038
226,0.45,0.25,0,0,0,0,0,0
227,-0.45,-0.25,4.23,-1.5,-4.57077223851417,-2.44144672531769,-1.71543624161074,1.08881431767338
228,0.45,0.3,3.5,-0.79,4.741642228739,3.06217008797654,1.85011185682327,-1.29977628635347
229,-0.45,-0.3,2.76,-0.97,-4.63484848484849,-3.00821114369501,-1.8248322147651,1.28299776286353
230,0.45,0.35,2.69,-0.79,4.6989247311828,3.6400293255132,1.84742729306488,-1.51901565995526
231,-0.45,-0.35,2.55,-1.25,-4.76300097751711,-3.70474095796676,-1.87986577181208,1.56532438478747
232,0.45,0.4,1.94,-0.4,4.67756598240469,4.18533724340176,1.87203579418345,-1.72885906040268
233,-0.45,-0.4,1.68,-0.75,-4.76300097751711,-4.241642228739,-1.8993288590604,1.76845637583893
234,0.45,0.45,0.63,0.13,4.80571847507331,4.80571847507331,1.95167785234899,-1.95816554809843
235,-0.45,-0.45,0.57,0.09,-4.7202834799609,-4.741642228739,-1.93020134228188,1.93803131991051
236,0.45,0.5,0.01,0.9,4.7202834799609,5.26881720430108,1.93691275167785,-2.11812080536913
